INVDATE,STATE,ITEMNAME,RATE,SOLDQTY,GOODSVAL,ORDERTYPE,Year_Range,FY,Quarter,Region,Season
2021-04-17,TAMIL NADU,"SEED GRAVITY SEPARATOR MODEL G-4-P II	",412000,1,412000,PVT.,2021-2022,2021,Q1 2021,South,Summer
2021-04-17,TAMIL NADU,"SEED GRAVITY SEPARATOR MODEL G-4-P II	",412000,1,412000,PVT.,2021-2022,2021,Q1 2021,South,Summer
2021-04-19,DELHI,SEED GRAVITY SEPARATOR MODEL G-6-P II,231000,1,231000,PVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-04-19,CHATTISGARH,SEED GRADER MODEL SG3 - II,721429,1,721429,PVT.,2021-2022,2021,Q1 2021,Central,Summer
2021-04-19,CHATTISGARH,"SEED GRAVITY SEPARATOR MODEL G-4-P II	",850000,1,850000,PVT.,2021-2022,2021,Q1 2021,Central,Summer
2021-04-20,PUNJAB,SEED GRADER MODEL SEED MASTER-II PF (5 HP BLOWER),514285,1,514285,PVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-04-22,NEPAL,FREIGHT,78000,1,78000,EXP,2021-2022,2021,Q1 2021,Other,Summer
2021-04-22,NEPAL,SEED GRADER MODEL DELUX-II,400000,1,400000,EXP,2021-2022,2021,Q1 2021,Other,Summer
2021-04-22,MADHYA PRADESH,SEED GRAVITY SEPARATOR MODEL G-6-P II,666666.67,1,666667,PVT.,2021-2022,2021,Q1 2021,Central,Summer
2021-04-29,HARYANA,SEED GRAVITY SEPARATOR MODEL G-2-P II,238095.24,1,238095,PVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-04-29,HARYANA,SEED GRADER MODEL DELUX-II,238095.24,1,238095,PVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-04-29,PUNJAB,BAG LOADING - UNLOADING CONVEYOR,441000,1,441000,PVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-05-01,MADHYA PRADESH,SEED GRAVITY SEPARATOR MODEL G-2-P II,266667,1,266667,PVT.,2021-2022,2021,Q1 2021,Central,Summer
